player_id,jersey,team,total_possession_frames,passes_made,passes_received,interceptions_made,avg_speed_mps,total_distance_m,usage_rate,on_court_frames
2,3,1,0,0,0,0,0.0,0.0,0.0,116
3,1,1,0,0,0,0,0.0,0.0,0.0,29
4,2,1,0,0,0,0,0.0,0.0,0.0,112
5,2,1,0,0,0,0,0.0,0.0,0.0,33
6,,1,0,0,0,0,0.0,0.0,0.0,39
7,7,1,0,0,0,0,0.0,0.0,0.0,22
8,4,1,0,0,0,0,0.0,0.0,0.0,50
12,7,1,0,0,0,0,0.0,0.0,0.0,104
21,5,1,55,0,0,0,8.52,23.881,0.579,95
23,,1,0,0,0,0,0.0,0.0,0.0,1
24,4,1,0,0,0,0,0.0,0.0,0.0,97
27,,1,0,0,0,0,0.0,0.0,0.0,3
30,,1,0,0,0,0,0.0,0.0,0.0,8
52,,1,0,0,0,0,0.0,0.0,0.0,2
140,,1,0,0,0,0,0.0,0.0,0.0,22
