frame,predicted_action
0,NO_POSSESSION
1,NO_POSSESSION
2,NO_POSSESSION
3,NO_POSSESSION
4,NO_POSSESSION
5,NO_POSSESSION
6,NO_POSSESSION
7,NO_POSSESSION
8,NO_POSSESSION
9,NO_POSSESSION
10,NO_POSSESSION
11,NO_POSSESSION
12,NO_POSSESSION
13,NO_POSSESSION
14,NO_POSSESSION
15,NO_POSSESSION
16,NO_POSSESSION
17,NO_POSSESSION
18,NO_POSSESSION
19,NO_POSSESSION
20,NO_POSSESSION
21,NO_POSSESSION
22,NO_POSSESSION
23,NO_POSSESSION
24,NO_POSSESSION
25,NO_POSSESSION
26,NO_POSSESSION
27,NO_POSSESSION
28,NO_POSSESSION
29,NO_POSSESSION
30,NO_POSSESSION
31,NO_POSSESSION
32,NO_POSSESSION
33,NO_POSSESSION
34,NO_POSSESSION
35,NO_POSSESSION
36,NO_POSSESSION
37,NO_POSSESSION
38,NO_POSSESSION
39,NO_POSSESSION
40,NO_POSSESSION
41,NO_POSSESSION
42,NO_POSSESSION
43,RESET_PLAY
44,RESET_PLAY
45,RESET_PLAY
46,RESET_PLAY
47,RESET_PLAY
48,RESET_PLAY
49,RESET_PLAY
50,RESET_PLAY
51,RESET_PLAY
52,RESET_PLAY
53,STABLE_POSSESSION
54,STABLE_POSSESSION
55,STABLE_POSSESSION
56,STABLE_POSSESSION
57,FAST_BREAK_PUSH
58,FAST_BREAK_PUSH
59,FAST_BREAK_PUSH
60,FAST_BREAK_PUSH
61,FAST_BREAK_PUSH
62,FAST_BREAK_PUSH
63,FAST_BREAK_PUSH
64,FAST_BREAK_PUSH
65,FAST_BREAK_PUSH
66,FAST_BREAK_PUSH
67,FAST_BREAK_PUSH
68,FAST_BREAK_PUSH
69,FAST_BREAK_PUSH
70,FAST_BREAK_PUSH
71,FAST_BREAK_PUSH
72,FAST_BREAK_PUSH
73,FAST_BREAK_PUSH
74,FAST_BREAK_PUSH
75,FAST_BREAK_PUSH
76,FAST_BREAK_PUSH
77,FAST_BREAK_PUSH
78,FAST_BREAK_PUSH
79,FAST_BREAK_PUSH
80,FAST_BREAK_PUSH
81,FAST_BREAK_PUSH
82,FAST_BREAK_PUSH
83,FAST_BREAK_PUSH
84,FAST_BREAK_PUSH
85,FAST_BREAK_PUSH
86,FAST_BREAK_PUSH
87,FAST_BREAK_PUSH
88,FAST_BREAK_PUSH
89,FAST_BREAK_PUSH
90,FAST_BREAK_PUSH
91,FAST_BREAK_PUSH
92,FAST_BREAK_PUSH
93,FAST_BREAK_PUSH
94,FAST_BREAK_PUSH
95,FAST_BREAK_PUSH
96,FAST_BREAK_PUSH
97,FAST_BREAK_PUSH
98,NO_POSSESSION
99,NO_POSSESSION
100,NO_POSSESSION
101,NO_POSSESSION
102,NO_POSSESSION
103,NO_POSSESSION
104,NO_POSSESSION
105,NO_POSSESSION
106,NO_POSSESSION
107,NO_POSSESSION
108,NO_POSSESSION
109,NO_POSSESSION
110,NO_POSSESSION
111,NO_POSSESSION
112,NO_POSSESSION
113,NO_POSSESSION
114,NO_POSSESSION
115,NO_POSSESSION
116,NO_POSSESSION
